"","state","year","SuicideMean","PovertyPercentage","mentalHealthMean","SZscore","MZscore","PZscore"
"1","Alabama",2011,13.2,15.4,4.9,-0.373357966386001,2.16670533190717,0.500992562469252
"2","Alabama",2012,14.7,16.2,5.4,-0.0221872561991684,3.12564636685596,0.733932694078886
"3","Alabama",2013,14.4,16.7,4.5,-0.0924213982365347,1.39955250394814,0.879520276334908
"4","Alabama",2014,14.5,17.8,4.7,-0.0690100175574126,1.78312891792765,1.19981295729816
"5","Alabama",2015,14.9,16.3,4.4,0.0246355051590762,1.20776429695838,0.763050210530091
"6","Alabama",2016,15.7,16.2,4.6,0.211926550592053,1.5913407109379,0.733932694078886
"7","Alaska",2011,20,11.7,3.1,1.21861591979431,-1.28548239390848,-0.57635554622531
"8","Alaska",2012,23,10,3.1,1.92095734016797,-1.28548239390848,-1.07135332589578
"9","Alaska",2013,23.2,10.9,3,1.96778010152622,-1.47727060089824,-0.809295677834945
"10","Alaska",2014,22.1,11.9,3,1.71025491405587,-1.47727060089824,-0.518120513322901
"11","Alaska",2015,26.9,9.2,3.4,2.83400118665374,-0.710117772939203,-1.30429345750542
"12","Alaska",2016,25.8,12.6,3.4,2.57647599918339,-0.710117772939203,-0.314297898164471
"13","Arizona",2011,17.8,17.2,3.9,0.703565544853619,0.248823262009588,1.02510785859093
"14","Arizona",2012,17.3,19,4,0.586508641458009,0.440611468999347,1.54922315471261
"15","Arizona",2013,17.5,20.2,3.9,0.633331402816253,0.248823262009588,1.89863335212706
"16","Arizona",2014,18,21.2,3.7,0.750388306211864,-0.134753151969928,2.1898085166391
"17","Arizona",2015,18.2,17.2,3.8,0.797211067570108,0.0570350550198299,1.02510785859093
"18","Arizona",2016,17.7,16.1,3.9,0.680154164174497,0.248823262009588,0.704815177627682
"19","Arkansas",2011,16,18.7,5.3,0.28216069262942,2.9338581598662,1.46187060535899
"20","Arkansas",2012,16.3,20.1,4.7,0.352394834666787,1.78312891792765,1.86951583567586
"21","Arkansas",2013,17.3,17.1,4.5,0.586508641458009,1.39955250394814,0.995990342139726
"22","Arkansas",2014,17.3,18.4,4.4,0.586508641458009,1.20776429695838,1.37451805600538
"23","Arkansas",2015,19.1,16.1,4.8,1.00791349368221,1.97491712491741,0.704815177627682
"24","Arkansas",2016,18.2,16,5.2,0.797211067570108,2.74206995287645,0.675697661176478
"25","California",2011,10.4,16.9,3.7,-1.02887662540142,-0.134753151969928,0.937755309237316
"26","California",2012,10,15.9,3.8,-1.12252214811791,0.0570350550198299,0.646580144725273
"27","California",2013,10.2,14.9,3.7,-1.07569938675967,-0.134753151969928,0.35540498021323
"28","California",2014,10.5,15.8,3.6,-1.0054652447223,-0.326541358959686,0.617462628274069
"29","California",2015,10.3,13.9,3.6,-1.05228800608054,-0.326541358959686,0.0642298157011861
"30","California",2016,10.5,13.9,3.5,-1.0054652447223,-0.518329565949444,0.0642298157011861
"31","Colorado",2011,17.5,13.2,3.5,0.633331402816253,-0.518329565949444,-0.139592799457245
"32","Colorado",2012,19.7,11.9,3.5,1.14838177775694,-0.518329565949444,-0.518120513322901
"33","Colorado",2013,18.6,10.6,3.3,0.890856590286597,-0.901905979928961,-0.896648227188558
"34","Colorado",2014,19.9,12.3,3.2,1.19520453911518,-1.09369418691872,-0.401650447518083
"35","Colorado",2015,19.5,9.9,3.5,1.1015590163987,-0.518329565949444,-1.10047084234699
"36","Colorado",2016,20.5,8.5,3.6,1.33567282318992,-0.326541358959686,-1.50811607266385
"37","Connecticut",2011,9.8,10.1,3.6,-1.16934490947615,-0.326541358959686,-1.04223580944458
"38","Connecticut",2012,9.9,10.3,3.7,-1.14593352879703,-0.134753151969928,-0.984000776542171
"39","Connecticut",2013,8.7,11.3,3.5,-1.4268700969465,-0.518329565949444,-0.692825612030127
"40","Connecticut",2014,9.8,8.6,3.7,-1.16934490947615,-0.134753151969928,-1.47899855621265
"41","Connecticut",2015,9.9,9.1,3.7,-1.14593352879703,-0.134753151969928,-1.33341097395662
"42","Connecticut",2016,10.1,9.8,3.8,-1.09911076743879,0.0570350550198299,-1.12958835879819
"43","Delaware",2011,11,13.7,3.4,-0.888408341326689,-0.710117772939203,0.00599478279877709
"44","Delaware",2012,13.2,13.5,3.7,-0.373357966386001,-0.134753151969928,-0.0522402501036314
"45","Delaware",2013,12.5,14,3.6,-0.537237631139856,-0.326541358959686,0.0933473321523904
"46","Delaware",2014,13.2,11,3.6,-0.373357966386001,-0.326541358959686,-0.78017816138374
"47","Delaware",2015,12.6,11.1,3.6,-0.513826250460734,-0.326541358959686,-0.751060644932536
"48","Delaware",2016,11.5,11.6,3.7,-0.771351437931078,-0.134753151969928,-0.605473062676514
"49","District of Columbia",2011,5.6,19.9,3.6,-2.15262289799929,-0.326541358959686,1.81128080277345
"50","District of Columbia",2012,5.7,18.4,3.8,-2.12921151732016,0.0570350550198299,1.37451805600538
"51","District of Columbia",2013,5.7,21.3,3.5,-2.12921151732016,-0.518329565949444,2.21892603309031
"52","District of Columbia",2014,7.8,19,3.3,-1.6375725230586,-0.901905979928961,1.54922315471261
"53","District of Columbia",2015,4.9,16.6,3.4,-2.31650256275314,-0.710117772939203,0.850402759883704
"54","District of Columbia",2016,5.2,16.3,3.3,-2.24626842071578,-0.901905979928961,0.763050210530091
"55","Florida",2011,13.9,14.9,4.4,-0.209478301632146,1.20776429695838,0.35540498021323
"56","Florida",2012,14.4,15.3,4.5,-0.0924213982365347,1.39955250394814,0.471875046018047
"57","Florida",2013,13.8,14.9,4.1,-0.232889682311268,0.632399675989104,0.35540498021323
"58","Florida",2014,13.9,16.7,3.8,-0.209478301632146,0.0570350550198299,0.879520276334908
"59","Florida",2015,14.4,16.2,4.2,-0.0924213982365347,0.824187882978863,0.733932694078886
"60","Florida",2016,14,13,3.7,-0.186066920953023,-0.134753151969928,-0.197827832359653
"61","Georgia",2011,11.7,18.4,3.9,-0.724528676572834,0.248823262009588,1.37451805600538
"62","Georgia",2012,11.7,18.1,3.6,-0.724528676572834,-0.326541358959686,1.28716550665177
"63","Georgia",2013,12,16.3,3.4,-0.654294534535467,-0.710117772939203,0.763050210530091
"64","Georgia",2014,12.6,16.8,4,-0.513826250460734,0.440611468999347,0.908637792786113
"65","Georgia",2015,12.7,18.1,3.7,-0.490414869781612,-0.134753151969928,1.28716550665177
"66","Georgia",2016,13.3,15.4,3.7,-0.349946585706879,-0.134753151969928,0.500992562469252
"67","Hawaii",2011,12.8,12.1,2.9,-0.467003489102489,-1.66905880788799,-0.459885480420493
"68","Hawaii",2012,13.1,13.8,3,-0.396769347065123,-1.47727060089824,0.0351122992499819
"69","Hawaii",2013,11.8,11.1,2.7,-0.701117295893711,-2.05263522186751,-0.751060644932536
"70","Hawaii",2014,13.8,10.8,2.8,-0.232889682311268,-1.86084701487775,-0.838413194286149
"71","Hawaii",2015,13.5,10.9,3,-0.303123824348634,-1.47727060089824,-0.809295677834945
"72","Hawaii",2016,12.1,9.3,3.2,-0.630883153856345,-1.09369418691872,-1.27517594105421
"73","Idaho",2011,18.2,15.7,3.8,0.797211067570108,0.0570350550198299,0.588345111822864
"74","Idaho",2012,19,14.4,3.9,0.984502113003085,0.248823262009588,0.209817397957208
"75","Idaho",2013,19.2,12.9,3.7,1.03132487436133,-0.134753151969928,-0.226945348810857
"76","Idaho",2014,20,12.4,3.3,1.21861591979431,-0.901905979928961,-0.372532931066879
"77","Idaho",2015,22.1,12.3,3.5,1.71025491405587,-0.518329565949444,-0.401650447518083
"78","Idaho",2016,21.4,11.1,3.6,1.54637524930202,-0.326541358959686,-0.751060644932536
"79","Illinois",2011,9.3,14.2,4,-1.28640181287177,0.440611468999347,0.151582365054799
"80","Illinois",2012,9.8,12.6,3.5,-1.16934490947615,-0.518329565949444,-0.314297898164471
"81","Illinois",2013,9.9,13.3,3.7,-1.14593352879703,-0.134753151969928,-0.11047528300604
"82","Illinois",2014,10.5,13.7,3.6,-1.0054652447223,-0.326541358959686,0.00599478279877709
"83","Illinois",2015,10.3,10.9,3.4,-1.05228800608054,-0.710117772939203,-0.809295677834945
"84","Illinois",2016,10.7,12.1,3.4,-0.958642483364056,-0.710117772939203,-0.459885480420493
"85","Indiana",2011,13.5,15.6,4.3,-0.303123824348634,1.01597608996862,0.55922759537166
"86","Indiana",2012,14.3,15.2,4.3,-0.115832778915657,1.01597608996862,0.442757529566842
"87","Indiana",2013,14.3,11.6,4,-0.115832778915657,0.440611468999347,-0.605473062676514
"88","Indiana",2014,14.3,14.6,4.2,-0.115832778915657,0.824187882978863,0.268052430859616
"89","Indiana",2015,14.4,13.5,4.1,-0.0924213982365347,0.632399675989104,-0.0522402501036314
"90","Indiana",2016,15.4,11.8,4.2,0.141692408554687,0.824187882978863,-0.547238029774105
"91","Iowa",2011,13.9,10.4,3.1,-0.209478301632146,-1.28548239390848,-0.954883260090966
"92","Iowa",2012,12.7,10.3,3.1,-0.490414869781612,-1.28548239390848,-0.984000776542171
"93","Iowa",2013,14.4,10.8,3,-0.0924213982365347,-1.47727060089824,-0.838413194286149
"94","Iowa",2014,12.9,10.3,3.1,-0.443592108423367,-1.28548239390848,-0.984000776542171
"95","Iowa",2015,13.9,10.4,3.3,-0.209478301632146,-0.901905979928961,-0.954883260090966
"96","Iowa",2016,14.6,9.8,3.3,-0.0455986368782905,-0.901905979928961,-1.12958835879819
"97","Kansas",2011,13.8,14.3,3.3,-0.232889682311268,-0.901905979928961,0.180699881506004
"98","Kansas",2012,17.4,14,3.3,0.60992002213713,-0.901905979928961,0.0933473321523904
"99","Kansas",2013,14.7,13.2,3.2,-0.0221872561991684,-1.09369418691872,-0.139592799457245
"100","Kansas",2014,15.7,12.1,3,0.211926550592053,-1.47727060089824,-0.459885480420493
"101","Kansas",2015,16.3,14.2,3.2,0.352394834666787,-1.09369418691872,0.151582365054799
"102","Kansas",2016,17.9,11.2,3.3,0.726976925532741,-0.901905979928961,-0.721943128481332
"103","Kentucky",2011,15.2,16,4.8,0.0948696471964425,1.97491712491741,0.675697661176478
"104","Kentucky",2012,16.2,17.9,5,0.328983453987664,2.35849353889693,1.22893047374936
"105","Kentucky",2013,15.6,20,4.6,0.188515169912931,1.5913407109379,1.84039831922465
"106","Kentucky",2014,16,20,4.6,0.28216069262942,1.5913407109379,1.84039831922465
"107","Kentucky",2015,17.1,19.5,4.4,0.539685880099764,1.20776429695838,1.69481073696863
"108","Kentucky",2016,16.8,15.2,4.7,0.469451738062398,1.78312891792765,0.442757529566842
"109","Louisiana",2011,12.5,21.1,4.4,-0.537237631139856,1.20776429695838,2.1606910001879
"110","Louisiana",2012,12.4,21.1,4.1,-0.560649011818978,0.632399675989104,2.1606910001879
"111","Louisiana",2013,12.4,19.2,4.2,-0.560649011818978,0.824187882978863,1.60745818761502
"112","Louisiana",2014,14.3,23.1,4,-0.115832778915657,0.440611468999347,2.74304132921199
"113","Louisiana",2015,15.2,18.6,4.3,0.0948696471964425,1.01597608996862,1.43275308890779
"114","Louisiana",2016,14.2,20.2,4.2,-0.139244159594779,0.824187882978863,1.89863335212706
"115","Maine",2011,16.6,13.4,4.2,0.422628976704153,0.824187882978863,-0.0813577665548357
"116","Maine",2012,14.5,12.8,4.2,-0.0690100175574126,0.824187882978863,-0.256062865262062
"117","Maine",2013,17.4,12.3,4,0.60992002213713,0.440611468999347,-0.401650447518083
"118","Maine",2014,15.7,14.6,3.9,0.211926550592053,0.248823262009588,0.268052430859616
"119","Maine",2015,16,12.3,4,0.28216069262942,0.440611468999347,-0.401650447518083
"120","Maine",2016,15.9,12.7,4.4,0.258749311950298,1.20776429695838,-0.285180381713266
"121","Maryland",2011,9.2,9.3,3.7,-1.30981319355089,-0.134753151969928,-1.27517594105421
"122","Maryland",2012,9.5,9.9,3.5,-1.23957905151352,-0.518329565949444,-1.10047084234699
"123","Maryland",2013,9.2,10.3,3.3,-1.30981319355089,-0.901905979928961,-0.984000776542171
"124","Maryland",2014,9.8,9.8,3.4,-1.16934490947615,-0.710117772939203,-1.12958835879819
"125","Maryland",2015,8.8,9.6,3.4,-1.40345871626738,-0.710117772939203,-1.1878233917006
"126","Maryland",2016,9.4,7.1,3.4,-1.26299043219264,-0.710117772939203,-1.91576130298071
"127","Massachusetts",2011,8.4,10.6,3.6,-1.49710423898387,-0.326541358959686,-0.896648227188558
"128","Massachusetts",2012,8.7,11.3,3.8,-1.4268700969465,0.0570350550198299,-0.692825612030127
"129","Massachusetts",2013,8.2,11.9,3.8,-1.54392700034211,0.0570350550198299,-0.518120513322901
"130","Massachusetts",2014,8.2,13.6,3.9,-1.54392700034211,0.248823262009588,-0.0231227336524272
"131","Massachusetts",2015,8.9,11.5,3.9,-1.38004733558825,0.248823262009588,-0.634590579127719
"132","Massachusetts",2016,8.8,9.6,3.9,-1.40345871626738,0.248823262009588,-1.1878233917006
"133","Michigan",2011,12.2,15,4.3,-0.607471773177223,1.01597608996862,0.384522496664434
"134","Michigan",2012,12.5,13.7,4.2,-0.537237631139856,0.824187882978863,0.00599478279877709
"135","Michigan",2013,12.9,14.5,4,-0.443592108423367,0.440611468999347,0.238934914408412
"136","Michigan",2014,13.3,14.8,4.2,-0.349946585706879,0.824187882978863,0.326287463762025
"137","Michigan",2015,13.8,12.8,3.9,-0.232889682311268,0.248823262009588,-0.256062865262062
"138","Michigan",2016,13.3,11.1,4.4,-0.349946585706879,1.20776429695838,-0.751060644932536
"139","Minnesota",2011,12.5,10,3.1,-0.537237631139856,-1.28548239390848,-1.07135332589578
"140","Minnesota",2012,12,10,3.1,-0.654294534535467,-1.28548239390848,-1.07135332589578
"141","Minnesota",2013,12.1,12,2.9,-0.630883153856345,-1.66905880788799,-0.489002996871697
"142","Minnesota",2014,12.2,8.3,2.9,-0.607471773177223,-1.66905880788799,-1.56635110556626
"143","Minnesota",2015,13.2,7.8,3,-0.373357966386001,-1.47727060089824,-1.71193868782228
"144","Minnesota",2016,13.2,8.7,3.2,-0.373357966386001,-1.09369418691872,-1.44988103976144
"145","Mississippi",2011,13.1,17.4,4.4,-0.396769347065123,1.20776429695838,1.08334289149334
"146","Mississippi",2012,14,22,4.4,-0.186066920953023,1.20776429695838,2.42274864824874
"147","Mississippi",2013,13,22.5,4.4,-0.420180727744245,1.20776429695838,2.56833623050476
"148","Mississippi",2014,12.5,22.1,4.3,-0.537237631139856,1.01597608996862,2.45186616469994
"149","Mississippi",2015,14,19.1,4.5,-0.186066920953023,1.39955250394814,1.57834067116381
"150","Mississippi",2016,12.7,21.1,4.4,-0.490414869781612,1.20776429695838,2.1606910001879
"151","Missouri",2011,15.3,15.4,4.1,0.118281027875565,0.632399675989104,0.500992562469252
"152","Missouri",2012,14.9,15.2,4.1,0.0246355051590762,0.632399675989104,0.442757529566842
"153","Missouri",2013,15.6,13.7,3.8,0.188515169912931,0.0570350550198299,0.00599478279877709
